,count+mnb,count+svm,count+mlp,tfidf+mnb, tfidf+svm, tfidf+mlp,sum
configuration-management ,0,0,0,0,0,0,0
awt ,0,0,0,0,0,0,0
email ,0,0,0,0,0,0,0
osgi ,0,0,0,0,0,0,0
tostring ,0,0,0,0,0,0,0
video ,0,0,0,0,0,0,0
javascript ,0,0,0,0,0,0,0
development-environment ,0,0,0,0,0,0,0
domain-model ,0,0,0,0,0,0,0
dependency-injection ,0,0,0,0,0,0,0
socket.io ,0,0,0,0,0,0,0
navigation-drawer ,0,0,0,0,0,0,0
oasis ,0,0,0,0,0,0,0
scala ,0,0,0,0,0,0,0
ide ,0,0,0,0,0,0,0
gwt ,0,0,0,0,0,0,0
drupal-7 ,0,0,0,0,0,0,0
pygame ,0,0,0,0,0,0,0
ios ,0,0,0,0,0,0,0
default ,0,0,0,0,0,0,0
dependency-injection ,0,0,0,0,0,0,0
event-driven ,0,0,0,0,0,0,0
version-control ,0,0,0,0,0,0,0
widget ,0,0,0,0,0,0,0
jquery ,0,0,0,0,0,0,0
postgresql ,0,0,0,0,0,0,0
desktop ,0,0,0,0,0,0,0
ios ,0,0,0,0,0,0,0
youtube ,0,0,0,0,0,0,0
template-engine ,0,0,0,0,0,0,0
reference-type ,0,0,0,0,0,0,0
django ,0,0,0,0,0,0,0
elasticsearch ,0,0,0,0,0,0,0
memory-management ,0,0,0,0,0,0,0
sql ,0,0,0,0,0,0,0
implementation ,0,0,0,0,0,0,0
sdk ,0,0,0,0,0,0,0
s ,0,0,0,0,0,0,0
sql ,0,0,0,0,0,0,0
sdk ,0,0,0,0,0,0,0
hotspot ,0,0,0,0,0,0,0
node.js ,0,0,0,0,0,0,0
windows-nt ,0,0,0,0,0,0,0
windows-10 ,0,0,0,0,0,0,0
